"Rambo" (1986)						1986-1986
"Ramdam" (2001) {Mauvaises nouvelles (#4.76)}		2005
"Ramdam" (2001) {Max attaque (#1.44)}			2001
"Ramdam" (2001) {Maîtres chanteurs (#1.41)}		2001
"Ramdam" (2001) {Menteries et pepperoni (#3.12)}	2003
"Ramdam" (2001) {Miroir, miroir... (#5.30)}		2005
"Ramdam" (2001) {Miss Pétard (#5.65)}			2006
"Ramdam" (2001) {Modèle et rebelle (#3.38)}		2003
"Ramdam" (2001) {Moi? Criarde?!? (#2.42)}		2002
"Ramdam" (2001) {Mon « haltère » égo (#5.80)}		2006
"Ramdam" (2001) {Monsieur Mongeau est un extraterrestre! (#3.98)}	2004
"Ramdam" (2001) {Mots couverts (#5.78)}			2006
"Ramdam" (2001) {Motus et broches cousues (#3.7)}	2003
"Ramdam" (2001) {Moyen Âge et grosse surprise! (#4.7)}	2004
"Ramdam" (2001) {Méchant party! (#2.100)}		2003
"Ramdam" (2001) {Méchant pétard (#3.43)}		2003
"Ramdam" (2001) {Méchant QI (#1.80)}			2002
"Ramdam" (2001) {Méritas bien mérités (#5.96)}		2006
"Ramdam" (2001) {Métro, impro, trio (#1.32)}		2001
"Ramdam" (2001) {Nathan à l'école d'inconduite (#3.87)}	2004
"Ramdam" (2001) {New York, New York (#3.3)}		2003
"Ramdam" (2001) {Nip, nip, nip? Nourra! (#4.54)}	2005
"Ramdam" (2001) {Nouvelle administration (#5.38)}	2005
"Ramdam" (2001) {Noël en famille (#5.48)}		2005
"Ramdam" (2001) {Noël «chill»! (#6.52)}			2006
"Ramdam" (2001) {Noël? C'est pas un cadeau (#6.50)}	2006
"Ramdam" (2001) {Oeil pour oeil... (#6.56)}		2007
"Ramdam" (2001) {On est tous des cons (#6.8)}		2006
"Ramdam" (2001) {On est tous le rejet de quelqu'un (#5.13)}	2005
"Ramdam" (2001) {On se l'arrache! (#1.22)}		2001
"Ramdam" (2001) {On se rallye! (#4.27)}			2004
"Ramdam" (2001) {Opération bougon (#2.43)}		2002
"Ramdam" (2001) {Opération sauvetage (#5.89)}		2006
"Ramdam" (2001) {Ouache!!! Dégueu!!! (#2.13)}		2002
"Ramdam" (2001) {Oui, allô! (#5.18)}			2005
"Ramdam" (2001) {Oups! (#6.64)}				2007
"Ramdam" (2001) {Papa a pas raison (#6.49)}		2006
"Ramdam" (2001) {Papa gâteau (#1.46)}			2001
"Ramdam" (2001) {Papa pas beau (#2.61)}			2003
"Ramdam" (2001) {Parfums, vamps et vampires (#1.12)}	2001
"Ramdam" (2001) {Paris à quel prix? (#1.92)}		2002
"Ramdam" (2001) {Parle avec lui (#5.79)}		2006
"Ramdam" (2001) {Parlez-moi d'amour (#6.97)}		2007
"Ramdam" (2001) {Participe passé (#6.23)}		2006
"Ramdam" (2001) {Party De Couples (#5.83)}		2006
"Ramdam" (2001) {Pas le vrai Tommy Bleau? (#3.29)}	2003
"Ramdam" (2001) {Pas touche! (#3.83)}			2004
"Ramdam" (2001) {Patentes et chinoiseries (#6.95)}	2007
"Ramdam" (2001) {Patins en folie (#1.16)}		2001
"Ramdam" (2001) {Personnalités de la semaine (#3.77)}	2004
"Ramdam" (2001) {Petites menteries, gros ennuis! (#3.57)}	2004
"Ramdam" (2001) {Photo, boulot, dodo (#3.5)}		2003
"Ramdam" (2001) {Photos de vacances (#6.45)}		2006
"Ramdam" (2001) {Pile je gagne, face tu perds (#3.91)}	2004
"Ramdam" (2001) {Pile je perds, face tu gagnes (#6.15)}	2006
"Ramdam" (2001) {Pique-nique ethnique (#6.41)}		2006
"Ramdam" (2001) {Piquer, c'est grattant! (#1.29)}	2001
"Ramdam" (2001) {Pitié! (#6.58)}			2007
"Ramdam" (2001) {Pleure pas bébé (#3.73)}		2004
"Ramdam" (2001) {Plus que parfait... (#6.34)}		2006
"Ramdam" (2001) {Plus ça change, moins ça va... (#4.5)}	2004
"Ramdam" (2001) {Plus ça change, plus c'est pareil! (#5.12)}	2005
"Ramdam" (2001) {Point final (#6.48)}			2006
"Ramdam" (2001) {Pop Secret (#2.46)}			2002
"Ramdam" (2001) {Populaire ou pas (#6.9)}		2006
"Ramdam" (2001) {Pour une bonne note (#1.15)}		2001
"Ramdam" (2001) {Pourquoi pas un sandwich au thon? (#4.66)}	2005
"Ramdam" (2001) {Pourquoi s'en faire? (#4.39)}		2004
"Ramdam" (2001) {Prince ou crapaud? (#4.47)}		2004
"Ramdam" (2001) {Privée de vie privée (#6.16)}		2006
"Ramdam" (2001) {Procrastination 101 (#5.75)}		2006
"Ramdam" (2001) {Promesse! Promesse! (#6.38)}		2006
"Ramdam" (2001) {Prête, prête, j'y vais! (#6.86)}	2007
"Ramdam" (2001) {Père à roulettes (#1.60)}		2002
"Ramdam" (2001) {Pète et répète (#2.49)}		2003
"Ramdam" (2001) {Qu'est-ce qu'on fera plus tard? (#2.91)}	2003
"Ramdam" (2001) {Quand l'amour s'en mêle (#3.19)}	2003
"Ramdam" (2001) {Quand l'inspiration va, tout va (#4.25)}	2004
"Ramdam" (2001) {Quand la maman va, tout va! (#1.85)}	2002
"Ramdam" (2001) {Que la meilleure gagne (#4.53)}	2005
"Ramdam" (2001) {Quelque chose à déclarer? (#5.66)}	2006
"Ramdam" (2001) {Question De Look... (#4.45)}		2004
"Ramdam" (2001) {Qui choisir? (#4.9)}			2004
"Ramdam" (2001) {Qui m'a piqué mon ex? (#6.28)}		2006
"Ramdam" (2001) {Qui prend chum prend amis (#4.69)}	2005
"Ramdam" (2001) {Qui s'y gratte, s'y pique! (#2.89)}	2003
"Ramdam" (2001) {Ragoût de boulettes et truffe de chien (#3.89)}	2004
"Ramdam" (2001) {Ras-le-bol! (#1.23)}			2001
"Ramdam" (2001) {Rendez-moi mes parents (#1.42)}	2001
"Ramdam" (2001) {Rendez-vous (#6.66)}			2007
"Ramdam" (2001) {Respire par le nez, Karine! (#4.29)}	2004
"Ramdam" (2001) {Reste proche, mais... plus loin (#3.51)}	2004
"Ramdam" (2001) {Retardé (#5.68)}			2006
"Ramdam" (2001) {Retour à l'école (#6.78)}		2007
"Ramdam" (2001) {Riche et amoureux? (#1.8)}		2001
"Ramdam" (2001) {Roméo et Juliette (#1.75)}		2002
"Ramdam" (2001) {Ruptures et déconfitures (#6.17)}	2006
"Ramdam" (2001) {Référendum et de filles (#1.94)}	2002
"Ramdam" (2001) {Réingénierie 101 (#4.87)}		2005
"Ramdam" (2001) {Réputations (#3.52)}			2004
"Ramdam" (2001) {Résolument résolus (#5.49)}		2006
"Ramdam" (2001) {Rétroviseurs déformants (#1.87)}	2002
"Ramdam" (2001) {Révolte (#2.19)}			2002
"Ramdam" (2001) {Sacrée journée! (#2.12)}		2002
"Ramdam" (2001) {Samedi qu'on ne s'ennuiera pas (#3.88)}	2004
"Ramdam" (2001) {Sans valentin (#6.75)}			2007
"Ramdam" (2001) {Saucisses et soucis (#1.96)}		2002
"Ramdam" (2001) {Sauve qui «pneu» (#6.43)}		2006
"Ramdam" (2001) {Sauvons Télé-Gamines (#5.33)}		2005
"Ramdam" (2001) {Scie et seulement scie... (#4.11)}	2004
"Ramdam" (2001) {Science et inconscience (#3.67)}	2004
"Ramdam" (2001) {Scientifiquement en amour (#2.79)}	2003
"Ramdam" (2001) {Scoop! (#3.100)}			2004
"Ramdam" (2001) {Secret de famille (#6.33)}		2006
"Ramdam" (2001) {Secrets mal gardés (#3.55)}		2004
"Ramdam" (2001) {Serpent et sornettes (#3.64)}		2004
"Ramdam" (2001) {Seuil d'incompétence (#5.23)}		2005
"Ramdam" (2001) {Seuls au monde? (#5.74)}		2006
"Ramdam" (2001) {Show de vent (#4.55)}			2005
"Ramdam" (2001) {Si j'avais un chat (#6.4)}		2006
"Ramdam" (2001) {Si j'avais une blonde (#3.6)}		2003
"Ramdam" (2001) {Si le chandail te fait (#3.8)}		2003
"Ramdam" (2001) {Si tu m'aimes, prends garde à toi! (#2.29)}	2002
"Ramdam" (2001) {Simon face à son vaccin (#1.88)}	2002
"Ramdam" (2001) {Simon love Karine (#6.32)}		2006
"Ramdam" (2001) {Sois rebelle et tais-toi! (#4.6)}	2004
"Ramdam" (2001) {SOS Sélina (#1.69)}			2002
"Ramdam" (2001) {Souper embêtant (#6.54)}		2007
"Ramdam" (2001) {Souriez! Vous êtes à la caméra! (#1.61)}	2002
"Ramdam" (2001) {Souris, tu m'inquiètes (#3.92)}	2004
"Ramdam" (2001) {Sous influence (#3.24)}		2003
"Ramdam" (2001) {Sous-location (#4.58)}			2005
"Ramdam" (2001) {Sous-salle d'attente (#6.27)}		2006
"Ramdam" (2001) {Souvent, longtemps, énormément (#3.78)}	2004
"Ramdam" (2001) {Spaghetti Western (#5.53)}		2006
"Ramdam" (2001) {Sportifs à l'écoute (#6.87)}		2007
"Ramdam" (2001) {Star En Catimini (#3.28)}		2003
"Ramdam" (2001) {Stress d'une nuit d'hiver (#1.63)}	2002
"Ramdam" (2001) {Sucré, salé (#1.53)}			2002
"Ramdam" (2001) {Sur la glace (#2.35)}			2002
"Ramdam" (2001) {Surprise en trois prises (#5.29)}	2005
"Ramdam" (2001) {Surprise, Surprise... (#1.39)}		2001
"Ramdam" (2001) {Séduction 101 (#7.30)}			2007
"Ramdam" (2001) {Sélina détective privée (#6.7)}	2006
"Ramdam" (2001) {Sélina et le Big Bazar! (#2.9)}	2002
"Ramdam" (2001) {Sélina la mitraille (#1.37)}		2001
"Ramdam" (2001) {Sélina la tricheuse (#6.60)}		2007
"Ramdam" (2001) {Sélina sous zéro (#4.71)}		2005
"Ramdam" (2001) {Sélina Spielberg (#1.28)}		2001
"Ramdam" (2001) {Sélina « On Ice » (#2.97)}		2003
"Ramdam" (2001) {Sélina à la rescousse (#1.72)}		2002
"Ramdam" (2001) {Tablette et... ta boîte! (#2.54)}	2003
"Ramdam" (2001) {Tatouage à tout âge (#3.70)}		2004
"Ramdam" (2001) {Tcha-tcha-tchatte! (#4.78)}		2005
"Ramdam" (2001) {Tendue et malentendu... (#3.15)}	2003
"Ramdam" (2001) {The L'Espérance-Laporte-Carpentier Show (#2.93)}	2003
"Ramdam" (2001) {Think Big! (#5.22)}			2005
"Ramdam" (2001) {Tofu-bohu (#1.79)}			2002
"Ramdam" (2001) {Totale énervante (#3.72)}		2004
"Ramdam" (2001) {Touche pas à ma radio (#6.42)}		2006
"Ramdam" (2001) {Tour du chapeau (#2.67)}		2003
"Ramdam" (2001) {Tout est dans la sauce (#2.6)}		2002
"Ramdam" (2001) {Tout finit par une chanson (#4.59)}	2005
"Ramdam" (2001) {Trac attack (#6.70)}			2007
"Ramdam" (2001) {Traquenard, tofu et tension (#1.77)}	2002
"Ramdam" (2001) {Trois filles, deux béquilles et une cheville! (#3.41)}	2003
"Ramdam" (2001) {Trois gars, trois filles (#1.90)}	2002
"Ramdam" (2001) {Trop, c'est trop (#5.57)}		2006
"Ramdam" (2001) {Télé-réalité (#5.35)}			2005
"Ramdam" (2001) {Télékiniaiseries (#1.81)}		2002
"Ramdam" (2001) {Tôt ou tard (#5.7)}			2005
"Ramdam" (2001) {Un 1 1/2 vaut mieux que 2 tu l'auras (#1.45)}	2001
"Ramdam" (2001) {Un ami de secours (#5.84)}		2006
"Ramdam" (2001) {Un ami qui vous veut du bien (#3.50)}	2004
"Ramdam" (2001) {Un amour impossible (#2.64)}		2003
"Ramdam" (2001) {Un amour top secret (#3.97)}		2004
"Ramdam" (2001) {Un casse-tête mur à mur (#5.34)}	2005
"Ramdam" (2001) {Un départ inattendu (#4.80)}		2005
"Ramdam" (2001) {Un gars, une fille... puis son père! (#5.24)}	2005
"Ramdam" (2001) {Un gars, ça ne parle pas (#6.22)}	2006
"Ramdam" (2001) {Un homme et son lavabo (#1.38)}	2001
"Ramdam" (2001) {Un itinérant errant (#3.60)}		2004
"Ramdam" (2001) {Un paquet de troubles (#6.93)}		2007
"Ramdam" (2001) {Un peu, beaucoup, passionnément... pas tout à fait (#1.100)}	2002
"Ramdam" (2001) {Un pour tous, et tous pour Nathan (#1.11)}	2001
"Ramdam" (2001) {Un prix à tout prix (#5.88)}		2006
"Ramdam" (2001) {Un secret, c'est sacré (#3.96)}	2004
"Ramdam" (2001) {Un serpent et une langue de vipère (#3.35)}	2003
"Ramdam" (2001) {Une affaire non classée (#2.15)}	2002
"Ramdam" (2001) {Une blonde trop loin (#2.53)}		2003
"Ramdam" (2001) {Une bouteille à la mer (#2.95)}	2003
"Ramdam" (2001) {Une couple d'histoires de couples (#4.34)}	2004
"Ramdam" (2001) {Une dent contre le dentiste! (#2.74)}	2003
"Ramdam" (2001) {Une fin de semaine de rêve (#2.48)}	2002
"Ramdam" (2001) {Une gang de malades (#1.14)}		2001
"Ramdam" (2001) {Une image vaut mille maux (#2.80)}	2003
"Ramdam" (2001) {Une journée échevelée (#5.15)}		2005
"Ramdam" (2001) {Une malade imaginaire? (#5.52)}	2006
"Ramdam" (2001) {Une montagne d'incompréhension (#6.88)}	2007
"Ramdam" (2001) {Une mystérieuse disparition (#3.95)}	2004
"Ramdam" (2001) {Une prof trop proche (#2.52)}		2003
"Ramdam" (2001) {Uniforme ou non (#3.76)}		2004
"Ramdam" (2001) {Vaches maigres megs (#4.88)}		2005
"Ramdam" (2001) {Vengeance douce (#3.22)}		2003
"Ramdam" (2001) {Ventres affamés n'ont pas d'oreilles (#1.6)}	2001
"Ramdam" (2001) {Vicissitudes (#1.57)}			2002
"Ramdam" (2001) {Victoire, Victoria! (#4.92)}		2005
"Ramdam" (2001) {Vies privées (#1.9)}			2001
"Ramdam" (2001) {Vilain voleur (#6.55)}			2007
"Ramdam" (2001) {Vin rouge et nuit blanche (#1.13)}	2001
"Ramdam" (2001) {Visite d'Afrique (#2.21)}		2002
"Ramdam" (2001) {Viva la fiesta! (#6.26)}		2006
"Ramdam" (2001) {Voir ou ne pas voir (#6.30)}		2006
"Ramdam" (2001) {Vol au dessus d'un nid de dessous (#1.2)}	2001
"Ramdam" (2001) {Vous écoutez MANO-FM (#3.20)}		2003
"Ramdam" (2001) {Vélo à vendre (Prix à discuter) (#2.17)}	2002
"Ramdam" (2001) {Y a-t-il de l'amour dans l'air? (#2.60)}	2003
"Ramdam" (2001) {Y a-t-il de l'amour sur terre? (#4.74)}	2005
"Ramdam" (2001) {Y'en aura pas de facile! (#3.56)}	2004
"Ramdam" (2001) {« Bloody Magic World » (#2.14)}	2002
"Ramdam" (2001) {À genoux devant vous! (#1.33)}		2001
"Ramdam" (2001) {À la boxe comme à la boxe (#1.64)}	2002
"Ramdam" (2001) {À tout prix (#6.57)}			2007
"Ramdam" (2001) {À vos poils... Prêts! Aux douches! (#3.42)}	2003
"Ramdam" (2001) {Ça casse, mais ça passe (#5.69)}	2006
"Ramdam" (2001) {Ça fait mal (#3.85)}			2004
"Ramdam" (2001) {Ça tourne autour du « pot » (#3.61)}	2004
"Ramdam" (2001) {Ça va faire! (#6.24)}			2006
"Ramdam" (2001) {Écarts de conduite (#4.62)}		2005
"Ramdam" (2001) {Écoute pas ça! (#5.94)}		2006
"Ramdam" (2001) {Écoute-moi, quand je te parle! (#4.90)}	2005
"Ramdam" (2001) {Élire ou lire (#6.12)}			2006
"Ramdam" (2001) {Être soi-même (#2.75)}			2003
"Ramen Daisuki Koizumi San" (2015)			2015-????
"Ramen Daisuki Koizumi San" (2015) {(#1.1)}		2015
"Ramen Daisuki Koizumi San" (2015) {(#1.2)}		2015
"Ramen Daisuki Koizumi San" (2015) {(#1.3)}		2015
"Ramen Daisuki Koizumi San" (2015) {(#1.4)}		2015
"Ramen Revolution" (2008)				2008-????
"Ramen Revolution" (2008) {(#1.1)}			2008
"Ramen Revolution" (2008) {(#1.2)}			2008
"Ramen Revolution" (2008) {(#1.3)}			2008
"Ramen Revolution" (2008) {(#1.4)}			????
"Ramen Revolution" (2008) {(#1.5)}			2008
"Ramen Revolution" (2008) {(#1.6)}			2008
"Ramen Revolution" (2008) {(#1.7)}			2008
"Ramen Revolution" (2008) {(#1.8)}			2008
"Ramen Revolution" (2008) {(2008-05-25)}		2008
"Ramen Walker" (2011)					2011-2011
"Ramen Walker" (2011) {(#1.1)}				2011
"Ramen Walker" (2011) {(#1.10)}				2011
"Ramen Walker" (2011) {(#1.11)}				2011
"Ramen Walker" (2011) {(#1.12)}				2011
"Ramen Walker" (2011) {(#1.13)}				2011
"Ramen Walker" (2011) {(#1.2)}				2011
"Ramen Walker" (2011) {(#1.3)}				2011
"Ramen Walker" (2011) {(#1.4)}				2011
"Ramen Walker" (2011) {(#1.5)}				2011
"Ramen Walker" (2011) {(#1.6)}				2011
"Ramen Walker" (2011) {(#1.7)}				2011
"Ramen Walker" (2011) {(#1.8)}				2011
"Ramen Walker" (2011) {(#1.9)}				2011
"Ramez Plays with Fire" (2016)				2016-????
"Ramez Plays with Fire" (2016) {Pranking Ahmed "Mido" Hossam (#1.3)}	2016
"Ramez Plays with Fire" (2016) {Pranking Antonio Banderas (#1.5)}	2016
"Ramez Plays with Fire" (2016) {Pranking Dina Mohsen & Shaimaa Saif (#1.4)}	2016
"Ramez Plays with Fire" (2016) {Pranking Ghada Adel (#1.2)}	2016
"Ramez Plays with Fire" (2016) {Pranking Ragheb Alama (#1.1)}	2016
"Rami Vered" (2002)					2002-????
"Ramlal Shyamlal" (1978)				1978-????
"Ramm og Tørnquist redder Norge" (2016)			2016-????
"Ramm og Tørnquist redder Norge" (2016) {Haktor (#1.2)}	2016
"Ramm og Tørnquist redder Norge" (2016) {Puskas (#1.3)}	2016
"Ramm og Tørnquist redder Norge" (2016) {Randis parfymeri (#1.1)}	2016
"Ramm Zee's Ghost" (2011)				2011-????
"Ramona" (1988)						1988-1989
"Ramona" (1988) {Goodbye, Hello (#1.5)}			1988
"Ramona" (1988) {Mystery Meal (#1.2)}			1988
"Ramona" (1988) {New Pajamas (#1.6)}			1988
"Ramona" (1988) {Rainy Sunday (#1.4)}			1988
"Ramona" (1988) {Ramona the Patient (#1.3)}		1988
"Ramona" (1988) {Ramona's Bad Day (#1.7)}		1988
"Ramona" (1988) {Siblingitis (#1.10)}			1989
"Ramona" (1988) {Squeakerfoot (#1.1)}			1988
"Ramona" (1988) {The Great Hair Argument (#1.8)}	1988
"Ramona" (1988) {The Perfect Day (#1.9)}		1989
"Ramona" (1991)						1991-????
"Ramona" (1991) {(#1.14)}				????
"Ramona" (1991) {(#1.16)}				????
"Ramona" (1991) {(#1.17)}				????
"Ramona" (1991) {(#1.18)}				????
"Ramona" (1991) {(#1.19)}				????
"Ramona" (1991) {(#1.20)}				????
"Ramona" (1991) {(#1.21)}				????
"Ramona" (1991) {(#1.22)}				????
"Ramona" (1991) {(#1.23)}				????
"Ramona" (1991) {(#1.24)}				????
"Ramona" (1991) {(#1.7)}				????
"Ramona" (1991) {Bernard (#1.5)}			????
"Ramona" (1991) {De Miljardair}				1991
"Ramona" (1991) {Een eerlijke vrouw (#1.3)}		1991
"Ramona" (1991) {John (#1.10)}				????
"Ramona" (1991) {Madame Superette (#1.1)}		????
"Ramona" (1991) {Moederweelde (#1.6)}			????
"Ramona" (1991) {Op elk potje past een deksteltje (#1.13)}	1991
"Ramona" (1991) {Problemen (#1.8)}			????
"Ramona" (1991) {Stille waters, diepe gronden (#1.4)}	1991
"Ramona" (1991) {Water en vuur (#1.15)}			????
"Ramona" (1991) {Wie het zwaard opneemt, zal erdoor vergaan (#1.11)}	1991
"Ramona" (1991) {Wie wind zaait, zal storm oogsten (#1.2)}	????
"Ramona" (1991) {Zijne Eminentie (#1.9)}		????
"Ramona" (1991) {Zwarte Piet (#1.12)}			????
"Ramona" (2000)						2000-????
"Ramona" (2000) {(#1.1)}				2000
"Ramona" (2000) {(#1.10)}				2000
"Ramona" (2000) {(#1.11)}				2000
"Ramona" (2000) {(#1.12)}				2000
"Ramona" (2000) {(#1.13)}				2000
"Ramona" (2000) {(#1.14)}				2000
"Ramona" (2000) {(#1.15)}				2000
"Ramona" (2000) {(#1.16)}				2000
"Ramona" (2000) {(#1.17)}				2000
"Ramona" (2000) {(#1.18)}				2000
"Ramona" (2000) {(#1.19)}				2000
"Ramona" (2000) {(#1.2)}				2000
"Ramona" (2000) {(#1.20)}				2000
"Ramona" (2000) {(#1.21)}				2000
"Ramona" (2000) {(#1.22)}				2000
"Ramona" (2000) {(#1.23)}				2000
"Ramona" (2000) {(#1.24)}				2000
"Ramona" (2000) {(#1.25)}				2000
"Ramona" (2000) {(#1.26)}				2000
"Ramona" (2000) {(#1.27)}				2000
"Ramona" (2000) {(#1.28)}				2000
"Ramona" (2000) {(#1.29)}				2000
"Ramona" (2000) {(#1.3)}				2000
"Ramona" (2000) {(#1.30)}				2000
"Ramona" (2000) {(#1.31)}				2000
"Ramona" (2000) {(#1.32)}				2000
"Ramona" (2000) {(#1.33)}				2000
"Ramona" (2000) {(#1.34)}				2000
"Ramona" (2000) {(#1.35)}				2000
"Ramona" (2000) {(#1.36)}				2000
"Ramona" (2000) {(#1.37)}				2000
"Ramona" (2000) {(#1.38)}				2000
"Ramona" (2000) {(#1.39)}				2000
"Ramona" (2000) {(#1.4)}				2000
"Ramona" (2000) {(#1.40)}				2000
"Ramona" (2000) {(#1.41)}				2000
"Ramona" (2000) {(#1.42)}				2000
"Ramona" (2000) {(#1.43)}				2000
"Ramona" (2000) {(#1.44)}				2000
"Ramona" (2000) {(#1.45)}				2000
"Ramona" (2000) {(#1.46)}				2000
"Ramona" (2000) {(#1.47)}				2000
"Ramona" (2000) {(#1.48)}				2000
"Ramona" (2000) {(#1.49)}				2000
"Ramona" (2000) {(#1.5)}				2000
"Ramona" (2000) {(#1.50)}				2000
"Ramona" (2000) {(#1.51)}				2000
"Ramona" (2000) {(#1.52)}				2000
"Ramona" (2000) {(#1.53)}				2000
"Ramona" (2000) {(#1.54)}				2000
"Ramona" (2000) {(#1.55)}				2000
"Ramona" (2000) {(#1.56)}				2000
"Ramona" (2000) {(#1.57)}				2000
"Ramona" (2000) {(#1.58)}				2000
"Ramona" (2000) {(#1.59)}				2000
"Ramona" (2000) {(#1.6)}				2000
"Ramona" (2000) {(#1.60)}				2000
"Ramona" (2000) {(#1.61)}				2000
"Ramona" (2000) {(#1.62)}				2000
"Ramona" (2000) {(#1.63)}				2000
"Ramona" (2000) {(#1.64)}				2000
"Ramona" (2000) {(#1.65)}				2000
"Ramona" (2000) {(#1.66)}				2000
"Ramona" (2000) {(#1.67)}				2000
"Ramona" (2000) {(#1.68)}				2000
"Ramona" (2000) {(#1.7)}				2000
"Ramona" (2000) {(#1.8)}				2000
"Ramona" (2000) {(#1.9)}				2000
"Ramona" (2000) {Gran final (#1.69)}			2000
"Ramona" (2003)						2003-2003
"Ramona" (2003) {(#1.1)}				2003
"Ramona" (2003) {(#1.2)}				2003
"Ramona: Ramona" (2017)					2017-????
"Ramona: Ramona" (2017) {(#1.1)}			????
"Ramona: Ramona" (2017) {(#1.10)}			????
"Ramona: Ramona" (2017) {(#1.11)}			????
"Ramona: Ramona" (2017) {(#1.12)}			????
"Ramona: Ramona" (2017) {(#1.13)}			????
"Ramona: Ramona" (2017) {(#1.2)}			????
"Ramona: Ramona" (2017) {(#1.3)}			????
"Ramona: Ramona" (2017) {(#1.4)}			????
"Ramona: Ramona" (2017) {(#1.5)}			????
"Ramona: Ramona" (2017) {(#1.6)}			????
"Ramona: Ramona" (2017) {(#1.7)}			????
"Ramona: Ramona" (2017) {(#1.8)}			????
"Ramona: Ramona" (2017) {(#1.9)}			????
"Rampage" (2009)					2009-????
"Rampage" (2009) {Motor Rampage (#1.8)}			2009
"Rampage" (2009) {Riot Rampage (#1.3)}			2009
"Rampage" (2009) {Riot Rampage 2 (#1.4)}		2009
"Rampage" (2009) {Road Rampage (#1.1)}			2009
"Rampage" (2009) {Road Rampage 2 (#1.2)}		2009
"Rampage" (2009) {Road Rampage 3}			2009
"Rampage" (2009) {Weather Rampage 1}			2009
"Rampage" (2009) {Weather Rampage 2}			2009
"Ramppikuume" (1985)					1985-1986
"Ramppikuume" (1985) {(#1.1)}				1985
"Ramppikuume" (1985) {(#1.2)}				1985
"Ramppikuume" (1985) {(#1.3)}				1985
"Ramppikuume" (1985) {(#1.4)}				1986
"Ramppikuume" (1985) {(#1.5)}				1986
"Ramppikuume" (1985) {(#1.6)}				1986
"Ramppikuume" (1985) {(#1.7)}				1986
"Ramppikuume" (1985) {(#1.8)}				1986
"Ramppivalot" (1986)					1986-????
"Ramppivalot" (1986) {(#1.1)}				1986
"Ramppivalot" (1986) {(#1.2)}				1986
"Ramppivalot" (1986) {Nina, perjantain lapsi}		1986
"Ramppivalot" (1986) {Piiri pieni pyörii (#1.3)}	1986
"Ramsay's Best Restaurant" (2010)			2010-????
"Ramsay's Best Restaurant" (2010) {The British Restaurants (#1.4)}	2010
"Ramsay's Best Restaurant" (2010) {The Chinese Restaurants (#1.3)}	2010
"Ramsay's Best Restaurant" (2010) {The Final (#1.11)}	2010
"Ramsay's Best Restaurant" (2010) {The French Restaurants (#1.6)}	2010
"Ramsay's Best Restaurant" (2010) {The Indian Restaurants (#1.2)}	2010
"Ramsay's Best Restaurant" (2010) {The Italian Restaurants (#1.1)}	2010
"Ramsay's Best Restaurant" (2010) {The North African Restaurants (#1.7)}	2010
"Ramsay's Best Restaurant" (2010) {The Semi Finals: Part 1 (#1.9)}	2010
"Ramsay's Best Restaurant" (2010) {The Semi Finals: Part 2 (#1.10)}	2010
"Ramsay's Best Restaurant" (2010) {The Spanish Restaurants (#1.8)}	2010
"Ramsay's Best Restaurant" (2010) {The Thai Restaurants (#1.5)}	2010
"Ramsay's Boiling Point" (1998)				1998-????
"Ramsay's Boiling Point" (1998) {(#1.1)}		1999
"Ramsay's Boiling Point" (1998) {(#1.2)}		1999
"Ramsay's Boiling Point" (1998) {(#1.3)}		1999
"Ramsay's Boiling Point" (1998) {(#1.4)}		1999
"Ramsay's Boiling Point" (1998) {(#1.5)}		1999
"Ramsay's Costa Del Nightmares" (2014)			2014-????
"Ramsay's Costa Del Nightmares" (2014) {La Granada Divino (#1.3)}	2014
"Ramsay's Costa Del Nightmares" (2014) {Le Deck (#1.2)}	2014
"Ramsay's Costa Del Nightmares" (2014) {Mayfair Restaurante (#1.1)}	2014
"Ramsay's Costa Del Nightmares" (2014) {Quelcutti's (#1.4)}	2014
"Ramsay's Kitchen Nightmares" (2004)			2004-2014
"Ramsay's Kitchen Nightmares" (2004) {Bonaparte's Restaurant Revisited (#2.8)}	2005
"Ramsay's Kitchen Nightmares" (2004) {Bonapartes (#1.1)}	2004
"Ramsay's Kitchen Nightmares" (2004) {Clubway 41 (#3.3)}	2006
"Ramsay's Kitchen Nightmares" (2004) {Curry Lounge (#5.7)}	2007
"Ramsay's Kitchen Nightmares" (2004) {D-Place (#2.2)}	2005
"Ramsay's Kitchen Nightmares" (2004) {Dillions (#6.6)} {{SUSPENDED}}	2009
"Ramsay's Kitchen Nightmares" (2004) {La Gondola (#3.4)}	2006
"Ramsay's Kitchen Nightmares" (2004) {La Lanterna (#2.1)}	2005
"Ramsay's Kitchen Nightmares" (2004) {La Parra de Burriana (#4.1)}	2006
"Ramsay's Kitchen Nightmares" (2004) {La Parra de Burriana Revisited (#5.4)}	2007
"Ramsay's Kitchen Nightmares" (2004) {La Riviera (#2.4)}	2005
"Ramsay's Kitchen Nightmares" (2004) {La Riviera Revisited (#4.5)}	2006
"Ramsay's Kitchen Nightmares" (2004) {Momma Cherri's Soul Food Shack (#2.3)}	2005
"Ramsay's Kitchen Nightmares" (2004) {Momma Cherri's Soul Food Shack Revisited (#4.6)}	2006
"Ramsay's Kitchen Nightmares" (2004) {Moore Place (#1.4)}	2004
"Ramsay's Kitchen Nightmares" (2004) {Moore Place Revisited (#2.7)}	2005
